task,vri_id,mitypeTitle,mitypeNumber,mitypeType,mit_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,vriType,result_doc_type,result_docnum,additional_info,mitypeURL,query_meta,org_title_norm,owner_norm,mitypeTitle_norm
tsagi_manometers,487571529,Маном...,20680-07,МО и ВО,323270,66870,"МО-2,5",,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571530,Маном...,20680-07,МО и ВО,323270,67393,"МО-2,5",,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571531,Маном...,20680-07,МО и ВО,323270,3191,МО (0...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/323270,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571561,Маном...,5768-76,"МО, ВО",370585,55124,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571562,Маном...,5768-76,"МО, ВО",370585,68255,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571563,Маном...,5768-76,"МО, ВО",370585,54905,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571564,Маном...,5768-76,"МО, ВО",370585,54972,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571565,Маном...,5768-76,"МО, ВО",370585,54886,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571566,Маном...,5768-76,"МО, ВО",370585,11212,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571567,Маном...,5768-76,"МО, ВО",370585,78562,МО,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/370585,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571568,Маном...,34911-11,"МТИф,...",343903,19960,МТИф,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/343903,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571569,Маном...,34911-11,"МТИф,...",343903,19961,МТИф,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/343903,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571570,Маном...,34911-11,"МТИф,...",343903,19962,МТИф,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/343903,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571571,Маном...,1844-63,"МТИ, ВТИ",319374,16763,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
